trade_date,market,active_count,advancers,decliners,unchanged,advance_ratio,decline_ratio,turnover_amount,market_cap_total,top10_cap_share,cap_weighted_change_pct,median_change_pct,breadth_5d,weighted_return_20d,volatility_20d,turnover_ratio_20d,regime_score,regime,source,source_ref,schema_version,universe_count,return_observation_count,missing_return_count,equal_weight_change_pct,active_market_cap_total
1995-06-19,KOSPI,879,541,209,129,0.615472,0.23777,360155644400.0,134001805290350.0,0.336718,0.633613,0.85,0.450029,3.237085,1.20435,1.054629,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,950,879,0,0.866041,133136340419240.0
1995-06-20,KOSPI,880,339,381,160,0.385227,0.432955,357660501000.0,133741190327310.0,0.336792,-0.18005,0.0,0.44262,4.362548,1.162891,1.017059,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,950,880,0,-0.0465,132779795728310.0
1995-06-21,KOSPI,879,251,485,143,0.285552,0.551763,325300512700.0,133034082299500.0,0.335094,-0.592851,-0.53,0.424067,4.173184,1.168459,0.925039,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,951,879,0,-0.476576,132224654842830.0
1995-06-22,KOSPI,870,193,555,122,0.221839,0.637931,320037867100.0,131758990338960.0,0.334538,-0.888932,-0.91,0.391618,-1.475717,0.543333,0.937154,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,951,870,0,-0.858172,130664471179210.0
1995-06-23,KOSPI,874,299,434,141,0.342105,0.496568,319821610500.0,131818184747460.0,0.334422,0.068534,0.0,0.370039,-0.82977,0.53115,0.954484,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,951,874,0,-0.428913,130732365949900.0
1995-06-24,KOSPI,863,238,458,167,0.275782,0.530707,249082644700.0,131932203247840.0,0.336713,0.112139,-0.39,0.302101,-0.754583,0.531953,0.756965,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,951,863,0,-0.381402,130768310450630.0
1995-06-26,KOSPI,878,191,554,133,0.21754,0.630979,403494622700.0,131407741861570.0,0.338253,-0.38883,-0.89,0.268564,-2.14345,0.477345,1.226224,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,952,878,0,-0.978986,130320150401060.0
1995-06-28,KOSPI,861,356,338,167,0.413473,0.392567,384294755500.0,132007587538740.0,0.339283,0.436625,0.0,0.294148,-2.038705,0.482797,1.167875,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,955,861,0,0.083566,130752148584320.0
1995-06-29,KOSPI,878,656,113,109,0.747153,0.128702,331572042000.0,133840304874700.0,0.336204,1.38259,2.165,0.399211,-0.261724,0.574387,0.998139,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,952,878,0,2.163314,132606840243900.0
1995-06-30,KOSPI,879,525,217,137,0.59727,0.246871,448387447400.0,135473232737360.0,0.333913,1.19496,0.86,0.450244,-0.104546,0.589744,1.349791,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,955,879,0,1.241308,134358762514010.0
1995-07-01,KOSPI,858,477,253,128,0.555944,0.294872,703500114200.0,137826587467330.0,0.337951,1.789979,0.635,0.506276,1.616558,0.707781,2.117762,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,956,858,0,0.820653,136322679384540.0
1995-07-03,KOSPI,882,626,172,84,0.709751,0.195011,735931475300.0,138463939946130.0,0.333279,0.519747,1.89,0.604718,3.100934,0.673978,2.215391,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,957,882,0,1.889354,136446923200840.0
1995-07-04,KOSPI,891,458,304,129,0.514029,0.34119,584488596200.0,137520020139360.0,0.328447,-0.653304,0.34,0.624829,2.86832,0.685388,1.759499,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,957,891,0,0.720898,136139893147120.0
1995-07-05,KOSPI,886,458,301,127,0.51693,0.339729,635261817200.0,137124828788260.0,0.327469,-0.259884,0.395,0.578785,2.64829,0.689919,1.895892,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,958,886,0,0.94912,136132650748600.0
1995-07-06,KOSPI,897,565,231,101,0.629877,0.257525,808682719900.0,138555021148190.0,0.328349,1.134768,0.96,0.585306,4.027677,0.718258,2.327153,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,958,897,0,1.286745,136716700665230.0
1995-07-07,KOSPI,899,561,239,99,0.624027,0.265851,962937336700.0,142687877838400.0,0.330747,3.031527,1.38,0.598923,6.788623,0.947404,2.682964,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,960,899,0,1.539066,141148419018630.0
1995-07-08,KOSPI,898,418,330,150,0.465479,0.367483,712429790500.0,143482934375580.0,0.330802,0.494401,0.0,0.550068,7.382708,0.943556,1.913975,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,972,898,0,0.631269,142014814598500.0
1995-07-10,KOSPI,914,613,196,105,0.670678,0.214442,1056568311500.0,145593750065440.0,0.329383,1.522957,1.49,0.581398,9.696404,0.947811,2.682362,1,RISK_ON,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,974,914,0,1.671291,144622397732310.0
1995-07-11,KOSPI,925,223,616,86,0.241081,0.665946,1134592885500.0,145333714126480.0,0.335089,-0.143639,-1.96,0.526228,9.736929,0.946582,2.663732,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,978,925,0,-1.490519,144479612927200.0
1995-07-12,KOSPI,911,270,530,111,0.296378,0.581778,831828661900.0,145537690430550.0,0.33591,0.147509,-0.85,0.459529,9.693078,0.94722,1.610704,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,979,911,0,-0.553732,144444608229620.0
1995-07-13,KOSPI,923,517,307,99,0.56013,0.332611,1206654070500.0,147851401735650.0,0.33059,1.668467,1.08,0.446749,10.821094,0.982458,1.978526,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,980,923,0,1.447725,147019312916050.0
